communes,constats,dept
Allogny,1,18
Argent-sur-Sauldre,0,18
Aubigny-sur-Nère,1,18
Bourges,0,18
Brinon-sur-Sauldre,0,18
Chéry,0,18
Clémont,0,18
Concressault,1,18
Dun-sur-Auron,1,18
Ennordres,1,18
Feux,1,18
Graçay,1,18
Massay,0,18
Mehun-sur-Yèvre,0,18
Méreau,0,18
Méry-ès-Bois,1,18
Nançay,1,18
Neuvy-sur-Barangeon,1,18
Oizon,1,18
Plaimpied-Givaudins,2,18
Saint-Doulchard,0,18
Saint-Hilaire-de-Court,0,18
Saint-Just,1,18
Sancergues,1,18
Savigny-en-Septaine,1,18
Soye-en-Septaine,2,18
Subligny,1,18
Thénioux,0,18
Vierzon,0,18
Vignoux-sur-Barangeon,0,18
Villequiers,1,18
Vornay,1,18
Bélâbre,1,36
Bommiers,1,36
Chabris,0,36
Châtillon-sur-Indre,0,36
Chazelet,1,36
Concremiers,1,36
Douadic,1,36
Dun-le-Poëlier,1,36
Fontguenand,1,36
Issoudun,1,36
Martizay,1,36
Mauvières,1,36
Mérigny,1,36
Mézières-en-Brenne,1,36
Neuillay-les-Bois,1,36
Oulches,0,36
Palluau-sur-Indre,0,36
Prissac,1,36
Saint-Genou,0,36
Saint-Hilaire-sur-Benaize,1,36
Saint-Michel-en-Brenne,1,36
Tournon-Saint-Martin,0,36
Valençay,1,36
Val-Fouzon,1,36
Vendœuvres,1,36
Vernelle,1,36
Veuil,1,36
Villentrois,1,36
Amboise,0,37
Azay-sur-Cher,0,37
Azay-sur-Indre,0,37
Ballan-Miré,0,37
Beaulieu-lès-Loches,0,37
Beaumont-Village,1,37
Bléré,0,37
Bréhémont,0,37
Bridoré,0,37
Candes-Saint-Martin,0,37
Chambourg-sur-Indre,0,37
Chapelle-sur-Loire,0,37
Chargé,0,37
Chaumussay,1,37
Chédigny,0,37
Chemillé-sur-Indrois,1,37
Chisseaux,0,37
Civray-de-Touraine,0,37
Cormery,0,37
Courçay,0,37
Croix-en-Touraine,0,37
Dierre,0,37
Dolus-le-Sec,1,37
Esvres,0,37
Francueil,0,37
Genillé,0,37
Grand-Pressigny,1,37
Loches,0,37
Montbazon,0,37
Montlouis-sur-Loire,0,37
Montrésor,2,37
Monts,0,37
Orbigny,1,37
Perrusson,0,37
Reignac-sur-Indre,0,37
Rigny-Ussé,0,37
Rivarennes,0,37
Saché,0,37
Saint-Hippolyte,0,37
Saint-Jean-Saint-Germain,0,37
Saint-Martin-le-Beau,0,37
Saint-Quentin-sur-Indrois,0,37
Saint-Règle,1,37
Souvigny-de-Touraine,1,37
Thizay,0,37
Tournon-Saint-Pierre,1,37
Truyes,0,37
Véretz,0,37
Villandry,0,37
Villeloin-Coulangé,2,37
Angé,0,41
Autainville,1,41
Avaray,0,41
Averdon,1,41
Bauzy,1,41
Beauvilliers,1,41
Billy,0,41
Blois,0,41
Bonneveau,1,41
Bracieux,2,41
Briou,1,41
Candé-sur-Beuvron,0,41
Cellettes,1,41
Chailles,0,41
Chambon-sur-Cisse,1,41
Chambord,1,41
Champigny-en-Beauce,1,41
Chaon,1,41
Chapelle-Montmartin,0,41
Chapelle-Vendômoise,1,41
Châteauvieux,2,41
Châtillon-sur-Cher,0,41
Châtres-sur-Cher,0,41
Chaumont-sur-Tharonne,2,41
Chaussée-Saint-Victor,0,41
Chémery,1,41
Cheverny,1,41
Chissay-en-Touraine,0,41
Chitenay,1,41
Chouzy-sur-Cisse,0,41
Concriers,1,41
Contres,1,41
Cormeray,1,41
Couffy,0,41
Coulanges,1,41
Coulommiers-la-Tour,1,41
Courbouzon,1,41
Cour-Cheverny,1,41
Courmemin,1,41
Cour-sur-Loire,0,41
Crouy-sur-Cosson,2,41
Dhuizon,1,41
Epiais,1,41
Faverolles-sur-Cher,0,41
Faye,1,41
Feings,1,41
Ferté-Imbault,0,41
Ferté-Saint-Cyr,2,41
Fontaines-en-Sologne,1,41
Fougères-sur-Bièvre,2,41
Françay,1,41
Fresnes,1,41
Gièvres,0,41
Gy-en-Sologne,0,41
Herbault,1,41
Huisseau-sur-Cosson,2,41
Josnes,1,41
Lamotte-Beuvron,1,41
Lancôme,1,41
Landes-le-Gaulois,1,41
Langon,0,41
Lestiou,0,41
Lignières,0,41
Loreux,0,41
Lorges,1,41
Maray,0,41
Marchenoir,1,41
Mareuil-sur-Cher,0,41
Marolles,1,41
Maslives,0,41
Maves,1,41
Menars,0,41
Mennetou-sur-Cher,0,41
Mer,0,41
Meusnes,0,41
Millançay,1,41
Monteaux,0,41
Monthou-sur-Bièvre,1,41
Monthou-sur-Cher,0,41
Montils,1,41
Montlivault,0,41
Mont-près-Chambord,1,41
Montrichard,0,41
Montrieux-en-Sologne,1,41
Morée,0,41
Muides-sur-Loire,0,41
Mulsans,1,41
Neung-sur-Beuvron,2,41
Neuvy,1,41
Nouan-le-Fuzelier,1,41
Noyers-sur-Cher,0,41
Onzain,0,41
Ouchamps,2,41
Oucques,1,41
Ouzouer-le-Marché,1,41
Pierrefitte-sur-Sauldre,0,41
Plessis-l'Echelle,1,41
Pontlevoy,0,41
Pouillé,0,41
Pray,1,41
Pruniers-en-Sologne,0,41
Romorantin-Lanthenay,0,41
Saint-Aignan,0,41
Saint-Amand-Longpré,1,41
Saint-Bohaire,1,41
Saint-Denis-sur-Loire,0,41
Saint-Dyé-sur-Loire,0,41
Sainte-Gemmes,1,41
Saint-Georges-sur-Cher,0,41
Saint-Gervais-la-Forêt,0,41
Saint-Julien-de-Chédon,0,41
Saint-Julien-sur-Cher,0,41
Saint-Laurent-des-Bois,1,41
Saint-Laurent-Nouan,0,41
Saint-Léonard-en-Beauce,1,41
Saint-Loup,0,41
Saint-Lubin-en-Vergonnois,1,41
Saint-Romain-sur-Cher,0,41
Saint-Sulpice-de-Pommeray,1,41
Saint-Viâtre,1,41
Salbris,0,41
Sambin,1,41
Santenay,1,41
Sargé-sur-Braye,1,41
Sassay,1,41
Seigy,0,41
Seillac,1,41
Selles-Saint-Denis,0,41
Selommes,1,41
Seur,1,41
Soings-en-Sologne,1,41
Souesmes,0,41
Souvigny-en-Sologne,1,41
Suèvres,0,41
Talcy,1,41
Theillay,1,41
Thenay,0,41
Thésée,0,41
Thoury,1,41
Tour-en-Sologne,2,41
Vallières-les-Grandes,1,41
Vernou-en-Sologne,1,41
Veuves,0,41
Vievy-le-Rayé,1,41
Villefranche-sur-Cher,0,41
Villeherviers,0,41
Villemardy,1,41
Villermain,1,41
Villetrun,1,41
Villexanton,1,41
Vineuil,0,41
Vouzon,1,41
Amilly,0,45
Ardon,1,45
Artenay,1,45
Aschères-le-Marché,1,45
Attray,1,45
Aulnay-la-Rivière,0,45
Auvilliers-en-Gâtinais,1,45
Auxy,2,45
Bardon,1,45
Batilly-en-Gâtinais,2,45
Baule,0,45
Bazoches-les-Gallerandes,1,45
Beauchamps-sur-Huillard,2,45
Beaugency,0,45
Beaune-la-Rolande,2,45
Bellegarde,2,45
Bignon-Mirabeau,1,45
Boësses,1,45
