insee,communes,constats,dept
18004,Allogny,1,18
18011,Argent-sur-Sauldre,0,18
18015,Aubigny-sur-Nère,1,18
18033,Bourges,0,18
18037,Brinon-sur-Sauldre,0,18
18064,Chéry,0,18
18067,Clémont,0,18
18070,Concressault,1,18
18087,Dun-sur-Auron,1,18
18088,Ennordres,1,18
18094,Feux,1,18
18103,Graçay,1,18
18140,Massay,0,18
18141,Mehun-sur-Yèvre,0,18
18148,Méreau,0,18
18149,Méry-ès-Bois,1,18
18159,Nançay,1,18
18165,Neuvy-sur-Barangeon,1,18
18170,Oizon,1,18
18180,Plaimpied-Givaudins,2,18
18205,Saint-Doulchard,0,18
18214,Saint-Hilaire-de-Court,0,18
18218,Saint-Just,1,18
18240,Sancergues,1,18
18247,Savigny-en-Septaine,1,18
18254,Soye-en-Septaine,2,18
18256,Subligny,1,18
18263,Thénioux,0,18
18279,Vierzon,0,18
18281,Vignoux-sur-Barangeon,0,18
18286,Villequiers,1,18
18289,Vornay,1,18
36019,Bommiers,1,36
36016,Bélâbre,1,36
36034,Chabris,0,36
36049,Chazelet,1,36
36045,Châtillon-sur-Indre,0,36
36058,Concremiers,1,36
36066,Douadic,1,36
36068,Dun-le-Poëlier,1,36
36077,Fontguenand,1,36
36088,Issoudun,1,36
36113,Martizay,1,36
36114,Mauvières,1,36
36119,Mérigny,1,36
36123,Mézières-en-Brenne,1,36
36139,Neuillay-les-Bois,1,36
36148,Oulches,0,36
36149,Palluau-sur-Indre,0,36
36168,Prissac,1,36
36194,Saint-Genou,0,36
36197,Saint-Hilaire-sur-Benaize,1,36
36204,Saint-Michel-en-Brenne,1,36
36224,Tournon-Saint-Martin,0,36
36229,Val-Fouzon,1,36
36228,Valençay,1,36
36232,Vendœuvres,1,36
36233,Vernelle,1,36
36235,Veuil,1,36
36244,Villentrois,1,36
37003,Amboise,0,37
37015,Azay-sur-Cher,0,37
37016,Azay-sur-Indre,0,37
37018,Ballan-Miré,0,37
37020,Beaulieu-lès-Loches,0,37
37023,Beaumont-Village,1,37
37027,Bléré,0,37
37039,Bridoré,0,37
37038,Bréhémont,0,37
37042,Candes-Saint-Martin,0,37
37049,Chambourg-sur-Indre,0,37
37058,Chapelle-sur-Loire,0,37
37060,Chargé,0,37
37064,Chaumussay,1,37
37069,Chemillé-sur-Indrois,1,37
37073,Chisseaux,0,37
37066,Chédigny,0,37
37079,Civray-de-Touraine,0,37
37083,Cormery,0,37
37085,Courçay,0,37
37091,Croix-en-Touraine,0,37
37096,Dierre,0,37
37097,Dolus-le-Sec,1,37
37104,Esvres,0,37
37110,Francueil,0,37
37111,Genillé,0,37
37113,Grand-Pressigny,1,37
37132,Loches,0,37
37154,Montbazon,0,37
37156,Montlouis-sur-Loire,0,37
37157,Montrésor,2,37
37159,Monts,0,37
37177,Orbigny,1,37
37183,Perrusson,0,37
37192,Reignac-sur-Indre,0,37
37197,Rigny-Ussé,0,37
37200,Rivarennes,0,37
37205,Saché,0,37
37221,Saint-Hippolyte,0,37
